settlement,district,county ,population,households,land km^2,density km^2,classification
Dernagh / Clonoe ,Mid Ulster ,County Tyrone ,361,119,0.13,2771.14,Small village or hamlet 
Clonmore ,"Armagh, Banbridge and Craigavon ",County Armagh ,360,117,0.27,1329.56,Small village or hamlet 
Seskinore ,Fermanagh and Omagh ,County Tyrone ,358,136,0.27,1308.4,Small village or hamlet 
Ballycassidy / Laragh / Trory ,Fermanagh and Omagh ,County Fermanagh ,357,151,0.69,520.73,Small village or hamlet 
Derryhale ,"Armagh, Banbridge and Craigavon ",County Armagh ,351,131,0.21,1706.57,Small village or hamlet 
Cullyhanna ,"Newry, Mourne and Down ",County Armagh ,345,133,0.19,1837.3,Small village or hamlet 
Tamlaght ,Fermanagh and Omagh ,County Fermanagh ,341,144,0.17,1985.96,Small village or hamlet 
Lenaderg ,"Armagh, Banbridge and Craigavon ",County Down ,341,140,0.08,4282.37,Small village or hamlet 
Bellarena ,Causeway Coast and Glens ,County Londonderry ,341,132,0.12,2949.93,Small village or hamlet 
Clanabogan ,Fermanagh and Omagh ,County Tyrone ,340,132,0.51,665.94,Small village or hamlet 
Whitecross ,"Newry, Mourne and Down ",County Armagh ,331,120,0.1,3253.66,Small village or hamlet 
Drumintee ,"Newry, Mourne and Down ",County Armagh ,328,129,0.2,1665.8,Small village or hamlet 
Granville ,Mid Ulster ,County Tyrone ,326,124,0.87,376.14,Small village or hamlet 
Raholp ,"Newry, Mourne and Down ",County Down ,324,109,0.09,3415.78,Small village or hamlet 
Dernaflaw ,Causeway Coast and Glens ,County Londonderry ,324,107,0.12,2600,Small village or hamlet 
Metropolitan North Down ,Ards and North Down ,County Down ,322,167,0.09,3518.06,Small village or hamlet 
Gortnahey ,Causeway Coast and Glens ,County Londonderry ,322,117,0.15,2119.7,Small village or hamlet 
Moss-side ,Causeway Coast and Glens ,County Antrim ,321,145,0.19,1715.46,Small village or hamlet 
Campsey ,Derry and Strabane ,County Londonderry ,316,112,0.13,2486.27,Small village or hamlet 
Derrymore ,"Armagh, Banbridge and Craigavon ",County Armagh ,314,115,0.11,2758.11,Small village or hamlet 
Clough ,"Newry, Mourne and Down ",County Down ,313,110,0.15,2022.59,Small village or hamlet 
Lurganare ,"Newry, Mourne and Down ",County Down ,311,120,0.06,4814.27,Small village or hamlet 
Stranocum ,Mid and East Antrim ,County Antrim ,311,115,0.12,2625.87,Small village or hamlet 
